Assembly	species
GCA_018151655.1_ASM1815165v1	Drosophila bocqueti
GCA_021223745.1_ASM2122374v1	Drosophila bunnanda
GCA_008042815.1_UCB_Dbun_1.0	Drosophila bunnanda
GCA_018905735.1_ASM1890573v1	Drosophila burlai
GCA_008042655.1_UCB_Dbur_1.0	Drosophila burlai
GCA_018905695.1_ASM1890569v1	Drosophila chauvacae
GCA_018874655.1_ASM1887465v1	Drosophila diplacantha
GCA_018874535.1_ASM1887453v1	Drosophila fengkainensis
GCA_018874515.1_ASM1887451v1	Drosophila greeni
GCA_021223805.1_ASM2122380v1	Drosophila jambulina
GCA_018152175.1_ASM1815217v1	Drosophila jambulina
GCA_008042695.1_UCB_Djam_1.0	Drosophila jambulina
GCA_008042475.1_UCB_Dkan_1.0	Drosophila kanapiae
GCA_021223915.1_ASM2122391v1	Drosophila kikkawai
GCF_018152535.1_ASM1815253v1	Drosophila kikkawai
GCF_000224215.1_Dkik_2.0	Drosophila kikkawai
GCA_008044355.1_UCB_Dlac_1.0	Drosophila lacteicornis
GCA_008042735.1_UCB_Dleo_1.0	Drosophila leontia
GCA_018905715.1_ASM1890571v1	Drosophila lini
GCA_018874475.1_ASM1887447v1	Drosophila malagassya
GCA_008042485.1_UCB_Dmay_1.0	Drosophila mayri
GCA_008042635.1_UCB_Dnik_1.0	Drosophila nikananu
GCA_018904815.1_ASM1890481v1	Drosophila ogumai
GCA_018905755.1_ASM1890575v1	Drosophila ohnishii
GCA_018904745.1_ASM1890474v1	Drosophila orosa
GCA_018904695.1_ASM1890469v1	Drosophila parvula
GCA_008042775.1_UCB_Dpec_1.0	Drosophila pectinifera
GCA_008042585.1_UCB_Dpun_1.0	Drosophila punjabiensis
GCA_018153105.1_ASM1815310v1	Drosophila rufa
GCA_008044435.1_UCB_Druf_1.0	Drosophila rufa
GCA_008042675.1_UCB_Dseg_1.0	Drosophila seguyi
GCA_021223895.1_ASM2122389v1	Drosophila serrata
GCA_008042835.1_UCB_Dser_1.0	Drosophila serrata
GCF_002093755.1_Dser1.0	Drosophila serrata
GCA_008042535.1_UCB_Dtan_1.0	Drosophila tani
GCA_018874455.1_ASM1887445v1	Drosophila trapezifrons
GCA_018904715.1_ASM1890471v1	Drosophila triauraria
GCA_018874435.1_ASM1887443v1	Drosophila triauraria
GCA_018874415.1_ASM1887441v1	Drosophila triauraria
GCA_018874385.1_ASM1887438v1	Drosophila triauraria
GCA_018874375.1_ASM1887437v1	Drosophila triauraria
GCA_018874315.1_ASM1887431v1	Drosophila triauraria
GCA_018151095.1_ASM1815109v1	Drosophila triauraria
GCA_014170255.2_RU_Dtri_1.1	Drosophila triauraria
GCA_014170255.1_RU_Dtri_1.0	Drosophila triauraria
GCA_008044375.1_UCB_Dtri_1.0	Drosophila triauraria
GCA_008042515.1_UCB_Dtru_1.0	Drosophila truncata
GCA_018904565.1_ASM1890456v1	Drosophila tsacasi
GCA_018874355.1_ASM1887435v1	Drosophila tsacasi
GCA_018874335.1_ASM1887433v1	Drosophila tsacasi
GCA_008042555.1_UCB_Dvul_1.0	Drosophila vulcana
GCA_008042575.1_UCB_Dwat_1.0	Drosophila watanabei
GCA_018152295.1_ASM1815229v1	Drosophila carrolli
GCA_018153365.1_ASM1815336v1	Drosophila fuyamai
GCA_018153305.1_ASM1815330v1	Drosophila kurseongensis
GCF_018152115.1_ASM1815211v1	Drosophila rhopaloa
GCF_000236305.1_Drho_2.0	Drosophila rhopaloa
GCF_018148935.1_ASM1814893v1	Drosophila biarmipes
GCA_005234255.1_D.biarmipes	Drosophila biarmipes
GCA_002222855.1_ASM222285v1	Drosophila biarmipes
GCF_000233415.1_Dbia_2.0	Drosophila biarmipes
GCA_018150695.1_ASM1815069v1	Drosophila oshimai
GCA_018150325.1_ASM1815032v1	Drosophila subpulchrella
GCF_014743375.2_RU_Dsub_v1.1	Drosophila subpulchrella
GCA_014743375.1_RU_Dsub_v1.0	Drosophila subpulchrella
GCF_013340165.1_LBDM_Dsuz_2.1.pri	Drosophila suzukii
GCA_013340185.1_LBDM_Dsuz_2.1.alt	Drosophila suzukii
